id_director,name
3632,Richard Brooks
148849,Victor Schertzinger
14855,Frank Borzage
78053,Edwin L. Marin
72467,Thaddeus O'Sullivan
35452,Corey Yuen Kwai
86051,Joshua Logan
1063201,Chris Newby
76462,Richard Schenkman
68212,Carroll Ballard
549024,Lance Young
26767,Ringo Lam
21371,Amy Holden Jones
4756,Matthew Broderick
2283,Stanley Tucci
55152,Campbell Scott
86293,Robert M. Young
27846,John Herzfeld
71825,Reb Braddock
584483,René Gainville
1217874,John Walsh
35155,John Gray
27146,Robert Lieberman
83413,Norman Tokar
87459,Norman Foster
19032,John Hough
5834,Robert Stevenson
29715,David Swift
6592,Duwayne Dunham
30099,Charles Barton
35318,Ken Annakin
2087,Richard Fleischer
56506,William Dear
64864,Clyde Geronimi
11434,Wilfred Jackson
11427,William Roberts
74565,Jack Kinney
103344,Harold Young
226599,Norman Ferguson
9082,Harold D. Schuster
5691,Samuel Armstrong
25558,Don Chaffey
67604,Ted Berman
67607,Art Stevens
55117,Matthew Bright
1744,Robert Wise
11151,Nick Cassavetes
31,Tom Hanks
59649,Michael Pressman
46946,Joseph Bologna
67570,Hettie MacDonald
1158,Al Pacino
884,Steve Buscemi
54448,Ismail Merchant
9200,John McNaughton
78997,Leon Ichaso
6201,Baz Luhrmann
11694,Doug Liman
12114,Michael Cimino
324,Scott Silver
56852,Tad Stones
32919,Anthony Asquith
64114,Edward Dmytryk
2891,Josef von Sternberg
2765,Nicholas Ray
117083,Aaron Kim Johnston
3451,Mel Stuart
71938,Jan Bucquoy
25630,Jack Clayton
8929,Charles Crichton
10707,Terry Jones
6448,Arthur Penn
14520,John Sturges
123827,Frédéric Mitterrand
716,Emile Ardolino
16544,Ted Kotcheff
6349,Alan J. Pakula
1096170,Sam Henry Kass
144130,Michael Covert
56746,Greg Spence
928583,Hugo Van Lawick
939320,Michael Kreihsl
1124024,Temístocles López
57226,Claude Nuridsany
57227,Marie Pérennou
47005,Alan Taylor
1114467,Chris Cullari
229263,Benoît Jacquot
107490,Jaco Van Dormael
22558,Nils Gaup
1086972,Peter Cohn
3974,Miloš Forman
53345,Rich Wilkes
89814,R. J. Cutler
621628,David Van Taylor
21958,Mark Rydell
16672,Ate de Jong
4600,Joe Dante
259792,Gustavo Graef-Marino
34611,Howard Zieff
1115333,Bruce LaBruce
1388631,Rick Castro
1415878,Sharon Pollack
109635,Michael Ray Rhodes
121585,Raúl Ruiz
159767,John L'Ecuyer
65608,Leon Gast
38494,Daniel Vigne
83784,Jan Švankmajer
40199,Anthony Mann
81930,Alfred L. Werker
12329,Vittorio De Sica
70854,Jean Delannoy
82389,Norman Z. McLeod
89914,Elliott Nugent
10249,Volker Schlöndorff
933201,Martine Dugowson
54839,Eric Red
22020,Barbara Kopple
929918,Cathy Caplan
929919,Tom Haneke
929920,Lawrence Silk
82442,Phillip Rhee
30309,Peter Greenaway
21175,Michel Blanc
36804,Peter Chelsom
31155,Fred Olen Ray
55916,Gabriele Salvatores
18533,Errol Morris
64073,Mark Aldo Miceli
107831,Jennie Livingston
69500,Lou Adler
10930,Irvin Kershner
4385,Sergio Leone
8966,Bruce Robinson
12238,David Lean
8482,Robert Mulligan
19800,Richard Marquand
2303,Wim Wenders
15378,Carol Reed
5026,Akira Kurosawa
8500,John Ford
8452,Andrei Tarkovsky
9577,George Roy Hill
4964,Hal Ashby
6648,Ingmar Bergman
372,Tom Stoppard
87565,Savage Steve Holland
68,Fritz Lang
37451,Jean-Jacques Beineix
55790,Allan Moyle
13265,Franklin J. Schaffner
185,Katsuhiro Ōtomo
13859,Stuart Rosenberg
13848,Charlie Chaplin
5690,James Algar
11428,Paul Satterfield
11430,Jim Handley
11431,Ford Beebe
11432,T. Hee
4065,Fred Zinnemann
16187,Jeannot Szwarc
68993,Godfrey Reggio
12300,Fred M. Wilcox
23968,Phil Alden Robinson
92436,Keoni Waxman
227875,John G. Young
105802,Doug Pray
110834,John Murlowski
135163,Susan Streitfeld
34721,Larry Bishop
